DATE_ID,erbs,EUtranCellFDD,DCVECTOR_INDEX,pmTaInit2Distr,Site_id,NE_id,Band_id,Sectoral,Sector_gabung,Distance,dfsum,Cumulative_Occurance,TA_Index
2024-12-20,E-BKT003MM1-BUKITTINGGIIII,BKT003MT1_BUKITTINGGIIIIMT05,10,0,BKT003,BKT003MT,L900,5,2,(7.18 - 8.74) km,74671,100.0,TA10
2024-12-20,E-BKT003MM1-BUKITTINGGIIII,BKT003MT1_BUKITTINGGIIIIMT05,11,0,BKT003,BKT003MT,L900,5,2,(8.74 - 10.5) km,74671,100.0,TA11
2024-12-20,E-BKT003MM1-BUKITTINGGIIII,BKT003MT1_BUKITTINGGIIIIMT05,12,0,BKT003,BKT003MT,L900,5,2,(10.5 - 12.5) km,74671,100.0,TA12
2024-12-20,E-BKT003MM1-BUKITTINGGIIII,BKT003MT1_BUKITTINGGIIIIMT05,13,0,BKT003,BKT003MT,L900,5,2,(12.5 - 14.6) km,74671,100.0,TA13
2024-12-20,E-BKT003MM1-BUKITTINGGIIII,BKT003MT1_BUKITTINGGIIIIMT05,14,0,BKT003,BKT003MT,L900,5,2,(14.6 - 16.9) km,74671,100.0,TA14
2024-12-20,E-BKT003MM1-BUKITTINGGIIII,BKT003MT1_BUKITTINGGIIIIMT05,15,0,BKT003,BKT003MT,L900,5,2,(16.9 - 19.4) km,74671,100.0,TA15
2024-12-20,E-BKT003MM1-BUKITTINGGIIII,BKT003MT1_BUKITTINGGIIIIMT05,16,0,BKT003,BKT003MT,L900,5,2,(19.4 - 22.0) km,74671,100.0,TA16
2024-12-20,E-BKT003MM1-BUKITTINGGIIII,BKT003MT1_BUKITTINGGIIIIMT05,17,0,BKT003,BKT003MT,L900,5,2,(22.0 - 24.8) km,74671,100.0,TA17
2024-12-20,E-BKT003MM1-BUKITTINGGIIII,BKT003MT1_BUKITTINGGIIIIMT05,18,0,BKT003,BKT003MT,L900,5,2,(24.8 - 27.9) km,74671,100.0,TA18
2024-12-20,E-BKT003MM1-BUKITTINGGIIII,BKT003MT1_BUKITTINGGIIIIMT05,19,0,BKT003,BKT003MT,L900,5,2,(27.9 - 31.3) km,74671,100.0,TA19
2024-12-20,E-BKT003MM1-BUKITTINGGIIII,BKT003MT2,0,18,BKT003,BKT003MT,L900,2,2,(0 - 0.08) km,51094,0.035229185422945945,TA0
2024-12-20,E-BKT003MM1-BUKITTINGGIIII,BKT003MT2,1,1420,BKT003,BKT003MT,L900,2,2,(0.08 - 0.23) km,51094,2.8144204798997925,TA1
2024-12-20,E-BKT003MM1-BUKITTINGGIIII,BKT003MT2,2,11961,BKT003,BKT003MT,L900,2,2,(0.23 - 0.63) km,51094,26.22421419344737,TA2
2024-12-20,E-BKT003MM1-BUKITTINGGIIII,BKT003MT2,3,25640,BKT003,BKT003MT,L900,2,2,(0.63 - 1.01) km,51094,76.40623165146593,TA3
2024-12-20,E-BKT003MM1-BUKITTINGGIIII,BKT003MT2,4,11868,BKT003,BKT003MT,L900,2,2,(1.01 - 1.64) km,51094,99.63400790699495,TA4
2024-12-20,E-BKT003MM1-BUKITTINGGIIII,BKT003MT2,5,187,BKT003,BKT003MT,L900,2,2,(1.64 - 2.42) km,51094,100.0,TA5
2024-12-20,E-BKT003MM1-BUKITTINGGIIII,BKT003MT2,6,0,BKT003,BKT003MT,L900,2,2,(2.42 - 3.36) km,51094,100.0,TA6
2024-12-20,E-BKT003MM1-BUKITTINGGIIII,BKT003MT2,7,0,BKT003,BKT003MT,L900,2,2,(3.36 - 4.45) km,51094,100.0,TA7
2024-12-20,E-BKT003MM1-BUKITTINGGIIII,BKT003MT2,8,0,BKT003,BKT003MT,L900,2,2,(4.45 - 5.70) km,51094,100.0,TA8
2024-12-20,E-BKT003MM1-BUKITTINGGIIII,BKT003MT2,9,0,BKT003,BKT003MT,L900,2,2,(5.70 - 7.18) km,51094,100.0,TA9
2024-12-20,E-BKT003MM1-BUKITTINGGIIII,BKT003MT2,10,0,BKT003,BKT003MT,L900,2,2,(7.18 - 8.74) km,51094,100.0,TA10
2024-12-20,E-BKT003MM1-BUKITTINGGIIII,BKT003MT2,11,0,BKT003,BKT003MT,L900,2,2,(8.74 - 10.5) km,51094,100.0,TA11
2024-12-20,E-BKT003MM1-BUKITTINGGIIII,BKT003MT2,12,0,BKT003,BKT003MT,L900,2,2,(10.5 - 12.5) km,51094,100.0,TA12
2024-12-20,E-BKT003MM1-BUKITTINGGIIII,BKT003MT2,13,0,BKT003,BKT003MT,L900,2,2,(12.5 - 14.6) km,51094,100.0,TA13
2024-12-20,E-BKT003MM1-BUKITTINGGIIII,BKT003MT2,14,0,BKT003,BKT003MT,L900,2,2,(14.6 - 16.9) km,51094,100.0,TA14
2024-12-20,E-BKT003MM1-BUKITTINGGIIII,BKT003MT2,15,0,BKT003,BKT003MT,L900,2,2,(16.9 - 19.4) km,51094,100.0,TA15
2024-12-20,E-BKT003MM1-BUKITTINGGIIII,BKT003MT2,16,0,BKT003,BKT003MT,L900,2,2,(19.4 - 22.0) km,51094,100.0,TA16
2024-12-20,E-BKT003MM1-BUKITTINGGIIII,BKT003MT2,17,0,BKT003,BKT003MT,L900,2,2,(22.0 - 24.8) km,51094,100.0,TA17
2024-12-20,E-BKT003MM1-BUKITTINGGIIII,BKT003MT2,18,0,BKT003,BKT003MT,L900,2,2,(24.8 - 27.9) km,51094,100.0,TA18
2024-12-20,E-BKT003MM1-BUKITTINGGIIII,BKT003MT2,19,0,BKT003,BKT003MT,L900,2,2,(27.9 - 31.3) km,51094,100.0,TA19
2024-12-20,E-BKT003MM1-BUKITTINGGIIII,BKT003MT3,0,12,BKT003,BKT003MT,L900,3,3,(0 - 0.08) km,13005,0.0922722029988466,TA0
2024-12-20,E-BKT003MM1-BUKITTINGGIIII,BKT003MT3,1,413,BKT003,BKT003MT,L900,3,3,(0.08 - 0.23) km,13005,3.2679738562091507,TA1
2024-12-20,E-BKT003MM1-BUKITTINGGIIII,BKT003MT3,2,10202,BKT003,BKT003MT,L900,3,3,(0.23 - 0.63) km,13005,81.71472510572858,TA2
2024-12-20,E-BKT003MM1-BUKITTINGGIIII,BKT003MT3,3,2043,BKT003,BKT003MT,L900,3,3,(0.63 - 1.01) km,13005,97.4240676662822,TA3
2024-12-20,E-BKT003MM1-BUKITTINGGIIII,BKT003MT3,4,330,BKT003,BKT003MT,L900,3,3,(1.01 - 1.64) km,13005,99.96155324875048,TA4
2024-12-20,E-BKT003MM1-BUKITTINGGIIII,BKT003MT3,5,5,BKT003,BKT003MT,L900,3,3,(1.64 - 2.42) km,13005,100.0,TA5
2024-12-20,E-BKT003MM1-BUKITTINGGIIII,BKT003MT3,6,0,BKT003,BKT003MT,L900,3,3,(2.42 - 3.36) km,13005,100.0,TA6
2024-12-20,E-BKT003MM1-BUKITTINGGIIII,BKT003MT3,7,0,BKT003,BKT003MT,L900,3,3,(3.36 - 4.45) km,13005,100.0,TA7
2024-12-20,E-BKT003MM1-BUKITTINGGIIII,BKT003MT3,8,0,BKT003,BKT003MT,L900,3,3,(4.45 - 5.70) km,13005,100.0,TA8
2024-12-20,E-BKT003MM1-BUKITTINGGIIII,BKT003MT3,9,0,BKT003,BKT003MT,L900,3,3,(5.70 - 7.18) km,13005,100.0,TA9
2024-12-20,E-BKT003MM1-BUKITTINGGIIII,BKT003MT3,10,0,BKT003,BKT003MT,L900,3,3,(7.18 - 8.74) km,13005,100.0,TA10
2024-12-20,E-BKT003MM1-BUKITTINGGIIII,BKT003MT3,11,0,BKT003,BKT003MT,L900,3,3,(8.74 - 10.5) km,13005,100.0,TA11
2024-12-20,E-BKT003MM1-BUKITTINGGIIII,BKT003MT3,12,0,BKT003,BKT003MT,L900,3,3,(10.5 - 12.5) km,13005,100.0,TA12
